researcher,degree,betweenness,closeness,pagerank
Batzner J.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Akhtar M.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Moniz N.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Mishra A.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Mickel J.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Manheim D.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Manghnani K.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Long Y.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Reuel A.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Nelaturu S.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Talat Z.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Yehudai A.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Yadav S.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Saha A.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Rismani S.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Riegler M.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Stachura D.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Tran A.,0.8103448275862069,0.0,0.7411764705882353,0.00785841127874934
Zhang Z.,0.15517241379310345,0.0,0.0,0.00740740740740741
Zhou J.,0.15517241379310345,0.0,0.0,0.00740740740740741
Tao K.,0.15517241379310345,0.0,0.0,0.00740740740740741
Wen Z.,0.15517241379310345,0.0,0.0,0.00740740740740741
Wang T.,0.15517241379310345,0.0,0.0,0.00740740740740741
Ning P.,0.15517241379310345,0.0,0.0,0.00740740740740741
Zhang W.,0.20689655172413793,0.0,0.0,0.00740740740740741
Yang X.,0.20689655172413793,0.0,0.0,0.00740740740740741
Xu W.,0.20689655172413793,0.0,0.0,0.00740740740740741
Mao Y.,0.20689655172413793,0.0,0.0,0.00740740740740741
Zheng R.,0.20689655172413793,0.0,0.0,0.00740740740740741
Ying R.,0.20689655172413793,0.0,0.0,0.00740740740740741
Mu Y.,0.20689655172413793,0.0,0.0,0.00740740740740741
Chen Q.,0.15517241379310345,0.0,0.0,0.00740740740740741
Tang X.,0.15517241379310345,0.0,0.0,0.00740740740740741
Cao Q.,0.15517241379310345,0.0,0.0,0.00740740740740741
Chu S.,0.20689655172413793,0.0,0.0,0.00740740740740741
Liu Z.,0.20689655172413793,0.0,0.0,0.00740740740740741
Ling L.,0.20689655172413793,0.0,0.0,0.00740740740740741
Kang J.,0.20689655172413793,0.0,0.0,0.00740740740740741
Liang Z.,0.20689655172413793,0.0,0.0,0.00740740740740741
Cai J.,0.20689655172413793,0.0,0.0,0.00740740740740741
Kong X.,0.15517241379310345,0.0,0.0,0.00740740740740741
Chen J.,0.06896551724137931,0.0,0.0,0.007407407407407408
Lin S.,0.017241379310344827,0.0,0.0,0.007407407407407408
Radji W.,0.05172413793103448,0.0,0.0,0.007407407407407408
Maillard O.,0.05172413793103448,0.0,0.0,0.007407407407407408
Ho M.,0.06896551724137931,0.0,0.0,0.007407407407407408
Qin L.,0.06896551724137931,0.0,0.0,0.007407407407407408
Liu B.,0.06896551724137931,0.0,0.0,0.007407407407407408
Nowé A.,0.034482758620689655,0.0,0.0,0.007407407407407408
