researcher,degree,betweenness,closeness,pagerank,classe
Qin L.,0.0689655172413793,0.0,0.0,0.0074074074074074,11
Liu B.,0.0689655172413793,0.0,0.0,0.0074074074074074,11
Nowé A.,0.0344827586206896,0.0,0.0,0.0074074074074074,13
Tahvildari L.,0.0172413793103448,0.0,0.0,0.0074074074074074,10
Gupta A.,0.0862068965517241,0.0,0.0,0.0074074074074074,14
Wang A.,0.0689655172413793,0.0,0.0,0.0074074074074074,11
Chulzhanov A.,0.0344827586206896,0.0,0.0,0.0074074074074074,12
Eberhardt S.,0.0344827586206896,0.0,0.0,0.0074074074074074,12
Osinenko P.,0.0517241379310344,0.0,0.0,0.0074074074074074,4
Malaniya G.,0.0517241379310344,0.0,0.0,0.0074074074074074,4
Ibrahim S.,0.0517241379310344,0.0,0.0,0.0074074074074074,4
Bolychev A.,0.0517241379310344,0.0,0.0,0.0074074074074074,4
Jin M.,0.0344827586206896,0.0,0.0,0.0074074074074074,2
Huang L.,0.0344827586206896,0.0,0.0,0.0074074074074074,2
Kim E.,0.0517241379310344,0.0,0.0,0.0074074074074074,3
Minnich A.,0.0517241379310344,0.0,0.0,0.0074074074074074,3
Russinovich M.,0.0517241379310344,0.0,0.0,0.0074074074074074,3
Beigi M.,0.0344827586206896,0.0,0.0,0.0074074074074074,2
Bullwinkel B.,0.0517241379310344,0.0,0.0,0.0074074074074074,3
Rosseau A.,0.0344827586206896,0.0,0.0,0.0074074074074074,13
Das U.,0.0517241379310344,0.0,0.0,0.0074074074074074,9
Basu D.,0.0517241379310344,0.0,0.0,0.0074074074074074,9
Leventhal S.,0.0517241379310344,0.0,0.0,0.0074074074074074,8
Bastian L.,0.0517241379310344,0.0,0.0,0.0074074074074074,8
Birdal T.,0.0517241379310344,0.0,0.0,0.0074074074074074,8
Hajij M.,0.0517241379310344,0.0,0.0,0.0074074074074074,8
Srinivasa S.,0.0862068965517241,0.0,0.0,0.0074074074074074,14
Shah P.,0.0862068965517241,0.0,0.0,0.0074074074074074,14
Pronovost E.,0.0862068965517241,0.0,0.0,0.0074074074074074,14
Pfeifer Q.,0.0862068965517241,0.0,0.0,0.0074074074074074,14
Khetarpal K.,0.0862068965517241,0.0,0.0,0.0074074074074074,14
Black P.,0.0344827586206896,0.0,0.0,0.0074074074074074,15
Suttie G.,0.0344827586206896,0.0,0.0,0.0074074074074074,15
Shahid A.,0.0344827586206896,0.0,0.0,0.0074074074074074,15
Lomuscio A.,0.0344827586206896,0.0,0.0,0.0074074074074074,5
Wang H.,0.0517241379310344,0.0,0.0,0.0074074074074074,16
Storkey A.,0.0517241379310344,0.0,0.0,0.0074074074074074,16
Sabharwal R.,0.0517241379310344,0.0,0.0,0.0074074074074074,16
Pan J.,0.0517241379310344,0.0,0.0,0.0074074074074074,16
Wicker M.,0.0344827586206896,0.0,0.0,0.0074074074074074,5
Mukherjee A.,0.0344827586206896,0.0,0.0,0.0074074074074074,12
Müller R.,0.0344827586206896,0.0,0.0,0.0074074074074074,13
Varghese S.,0.0344827586206896,0.0,0.0,0.0074074074074074,5
Kiggins A.,0.1034482758620689,0.0,0.3795180722891566,0.0054799390611718,0
Wu Y.,0.1034482758620689,0.0,0.3795180722891566,0.0054799390611718,0
Chen K.,0.1034482758620689,0.0,0.3795180722891566,0.0054799390611718,0
Xi X.,0.1034482758620689,0.0,0.3795180722891566,0.0054799390611718,0
Zhuang D.,0.1034482758620689,0.0,0.3795180722891566,0.0054799390611718,0
Huang J.,0.1034482758620689,0.0,0.3795180722891566,0.0054799390611718,0
Huang W.,0.1896551724137931,0.0,0.5478260869565217,0.0051060791104748,0
Qi X.,0.1896551724137931,0.0,0.5478260869565217,0.0051060791104748,0
Liu Y.,0.1896551724137931,0.0,0.5478260869565217,0.0051060791104748,0
Li Y.,0.1896551724137931,0.0,0.5478260869565217,0.0051060791104748,0
Zhu L.,0.1896551724137931,0.0,0.5478260869565217,0.0051060791104748,0
Zhang F.,0.1896551724137931,0.0,0.5478260869565217,0.0051060791104748,0
Wang Y.,0.1896551724137931,0.0,0.5478260869565217,0.0051060791104748,0
Qian S.,0.1896551724137931,0.0,0.5478260869565217,0.0051060791104748,0
Hu Z.,0.1896551724137931,0.0,0.5478260869565217,0.0051060791104748,0
